iata,name,city,state,country,latitude,longitude
43OA,ANDERSON AIRFIELD,WAYNESVILLE,OH,USA,39.58142222,-84.09278333
43OI,WINDSWEPT,NORTH BALTIMORE,OH,USA,41.19866305,-83.7007675
43OR,INSPIRATION,BEND,OR,USA,44.09222222,-121.15083333
43PA,KOLB,SPRING CITY,PA,USA,40.15999722,-75.54567083
43TA,DIAMOND SEVEN RANCH,MORGAN,TX,USA,32.02515055,-97.62641111
43TN,ROSEANNE,MORRISON,TN,USA,35.61805555,-86.0025
43TS,AERO SAYLEE,TILDEN,TX,USA,28.47428611,-98.58381944
43TX,MID-VALLEY DUSTERS INC,ALAMO,TX,USA,26.15313083,-98.13500833
43XA,GULF COAST AVIATION,WADSWORTH,TX,USA,28.825625,-95.90821666
43Y,NORTHOME MUNI,NORTHOME,MN,USA,47.88799377,-94.25812916
44A,ROLLE AIRFIELD,SAN LUIS,AZ,USA,32.51630555,-114.69838888
44AK,WEST PAPOOSE LAKE AIRPARK,WASILLA,AK,USA,61.53344444,-150.10244444
44AZ,SANDHILL RANCH,PAGE,AZ,USA,36.93193,-111.96962138
44B,CHARLES A CHASE JR MEML FLD,DOVER/FOXCROFT,ME,USA,45.17747222,-69.24466666
44C,BELOIT,BELOIT,WI,USA,42.49777777,-88.96761111
44CA,SANTA CRUZ RANCH,SANTA BARBARA,CA,USA,33.98980138,-119.67969305
44CL,BALSDON,GRIMES,CA,USA,39.04785416,-121.95038888
44CO,REDLANDS,HOTCHKISS,CO,USA,38.83665,-107.79283805
44G,BETZ,BLISSFIELD,MI,USA,41.8550375,-83.87076944
44GA,S&S FLYING SERVICE,PINEVIEW,GA,USA,32.1043375,-83.48294611
44ID,BOULDER CREEK AIRSTRIP,DONNELLY,ID,USA,44.73694166,-116.07415833
44IN,CAMPBELL FLD,VEEDERSBURG,IN,USA,40.12375,-87.21046666
44KS,VANKIRK,WICHITA,KS,USA,37.6109675,-97.16373375
44KY,DUFF,CHAVIES,KY,USA,37.3525925,-83.34240166
44LA,B T & K H RANCH,DRY CREEK,LA,USA,30.64741972,-93.05515527
44LS,SHERIDAN'S STRIP,PONCHATOULA,LA,USA,30.47219444,-90.36705555
44M,TENKILLER LAKE AIRPARK,COOKSON,OK,USA,35.70497222,-94.93613888
